Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,pointpos,Prediction_plot
2024-09-24 07:40:00+00:00,146.26,146.28,146.21,146.27,92077,473,0,146.2105,1
2024-09-24 07:41:00+00:00,146.27,146.27,146.21,146.21,33820,258,5,146.2105,1
2024-09-24 07:42:00+00:00,146.22,146.37,146.2,146.35,96584,497,4,146.20049999999998,1
2024-09-24 07:43:00+00:00,146.35,146.37,146.31,146.35,68960,311,3,146.3105,1
2024-09-24 07:44:00+00:00,146.36,146.37,146.32,146.36,42500,389,2,146.32049999999998,1
2024-09-24 07:45:00+00:00,146.36,146.68,146.36,146.68,250193,942,1,146.3605,1
2024-09-24 07:46:00+00:00,146.67,146.82,146.66,146.8,152896,922,0,146.66049999999998,1
2024-09-24 07:47:00+00:00,146.8,146.81,146.72,146.74,135920,885,3,146.7205,1
2024-09-24 07:48:00+00:00,146.73,146.79,146.69,146.76,231742,574,0,146.6905,1
2024-09-24 07:49:00+00:00,146.75,146.88,146.7,146.86,413637,586,1,146.70049999999998,1
2024-09-24 07:50:00+00:00,146.86,147.15,146.82,147.06,1587594,2310,1,146.82049999999998,1
2024-09-24 07:51:00+00:00,147.06,147.16,146.95,147.03,744371,835,3,146.95049999999998,1
2024-09-24 07:52:00+00:00,147.03,147.22,147.02,147.16,367761,1328,2,147.0205,1
2024-09-24 07:53:00+00:00,147.16,147.24,147.16,147.21,214923,387,1,147.16049999999998,1
2024-09-24 07:54:00+00:00,147.21,147.35,147.21,147.25,1070942,1051,0,147.2105,1
2024-09-24 07:55:00+00:00,147.25,147.28,147.1,147.14,148631,643,0,147.10049999999998,1
2024-09-24 07:56:00+00:00,147.14,147.15,147.0,147.03,424446,711,1,147.0005,1
2024-09-24 07:57:00+00:00,147.03,147.09,146.98,147.04,250484,398,4,146.98049999999998,1
2024-09-24 07:58:00+00:00,147.05,147.23,147.05,147.12,422466,753,3,147.0505,1
2024-09-24 07:59:00+00:00,147.12,147.2,147.12,147.19,89955,340,0,147.1205,1
2024-09-24 08:00:00+00:00,147.19,147.36,147.12,147.32,390314,924,1,147.1205,1
